# Kratos Output Displacements 
#
# curve_a.CurveGeometry3D
# solution step :: 0
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
  12             23.250000000000007              4.999999999999997                            0.0                            0.0           -0.46606405621635005            -3.0072540982278544                            0.0                            0.0
  13              23.83333333333333              5.000000000000003                            0.0                            0.0            -0.5299852288974023            -3.2728607347196004                            0.0                            0.0
  14             24.300000000000008                            5.0                            0.0                            0.0            -0.5855346802697348             -3.493762516507468                            0.0                            0.0
  15             24.649999999999977              4.999999999999998                            0.0                            0.0            -0.6297746864370595             -3.664121600939681                            0.0                            0.0
  16             24.883333333333344              5.000000000000002                            0.0                            0.0            -0.6604418569452299            -3.7797597054961742                            0.0                            0.0
  17                           25.0                            5.0                            0.0                            0.0            -0.6760723914303526             -3.838093087659727                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_a.CurveGeometry3D
# solution step :: 3
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           10.0                            5.0                            0.0                            0.0                            0.0                            0.0                            0.0                            0.0
   2              10.13333333333332              4.999999999999993                            0.0                            0.0        -2.4059104397622377e-07         -1.033853891385661e-09                            0.0                            0.0
   3              10.40000000000002              5.000000000000009                            0.0                            0.0         -7.217892203925658e-07          -0.002068545206298289                            0.0                            0.0
   4             10.799999999999985              4.999999999999994                            0.0                            0.0         -6.562674688836978e-05          -0.011376987798457527                            0.0                            0.0
   5             11.333333333333343              5.000000000000003                            0.0                            0.0         -0.0005372654594477666          -0.036195513929202505                            0.0                            0.0
   6             11.999999999999996              5.000000000000001                            0.0                            0.0          -0.002409858381955843           -0.08786758875814105                            0.0                            0.0
   7             12.666666666666675              5.000000000000001                            0.0                            0.0          -0.006205473934979722            -0.1601388375209023                            0.0                            0.0
   8             13.333333333333329                            5.0                            0.0                            0.0          -0.012562238979713314           -0.25293968677589174                            0.0                            0.0
   9             14.000000000000007              5.000000000000002                            0.0                            0.0          -0.022115814831863645           -0.36618079981578777                            0.0                            0.0
  10             14.666666666666666              4.999999999999997                            0.0                            0.0           -0.03549878533010009           -0.49975316268640135                            0.0                            0.0
  11             15.333333333333336              5.000000000000005                            0.0                            0.0           -0.05334004786433155            -0.6535281891204878                            0.0                            0.0
  12             16.000000000000004             4.9999999999999964                            0.0                            0.0           -0.07626420795684652            -0.8273578443346237                            0.0                            0.0
  13             16.666666666666664              5.000000000000005                            0.0                            0.0           -0.10489097796756397            -1.0210747875217496                            0.0                            0.0
  14             17.199999999999996             4.9999999999999964                            0.0                            0.0           -0.13284586001353915              -1.19180898388504                            0.0                            0.0
  15             17.599999999999994              5.000000000000002                            0.0                            0.0            -0.1569282599055235             -1.328632539163571                            0.0                            0.0
  16             17.866666666666667              5.000000000000002                            0.0                            0.0           -0.17444838467869062            -1.4237174170875395                            0.0                            0.0
  17                           18.0                            5.0                            0.0                            0.0           -0.18358470914818525            -1.4722232580708838                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_b.CurveGeometry3D
# solution step :: 3
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           18.0                            5.0                            0.0                            0.0           -0.18358470914818525            -1.4722232580708834                            0.0                            0.0
   2              18.11666666666666              4.999999999999995                            0.0                            0.0            -0.1915789930919125            -1.5146658690155625                            0.0                            0.0
   3             18.350000000000016              5.000000000000007                            0.0                            0.0             -0.208143712295076            -1.6010263002498286                            0.0                            0.0
   4              18.69999999999999             4.9999999999999964                            0.0                            0.0             -0.234759296488388              -1.73497693282948                            0.0                            0.0
   5              19.16666666666667                            5.0                            0.0                            0.0            -0.2739431091841418            -1.9223330035533515                            0.0                            0.0
   6                          19.75             5.0000000000000036                            0.0                            0.0            -0.3294773369989592            -2.1709475218502616                            0.0                            0.0
   7             20.333333333333336             4.9999999999999964                            0.0                            0.0            -0.3919550458298886            -2.4337982264684506                            0.0                            0.0
   8             20.916666666666657              5.000000000000002                            0.0                            0.0            -0.4617601369968405            -2.7106913809371607                            0.0                            0.0
   9             21.500000000000007              5.000000000000002                            0.0                            0.0            -0.5392711111045223            -3.0014228986670117                            0.0                            0.0
  10             22.083333333333336              4.999999999999997                            0.0                            0.0            -0.6248607890687978            -3.3057784933813967                            0.0                            0.0
  11             22.666666666666664              5.000000000000005                            0.0                            0.0            -0.7188960373229492             -3.623533837053202                            0.0                            0.0
  12             23.250000000000007              4.999999999999997                            0.0                            0.0              -0.82173749741861            -3.9544547252525186                            0.0                            0.0
